Name,Genre,Price,Positive_Reviews,Negative_Reviews,Developer,Release_Date
Unreal Gold,Action,5.99,1228,132,"Epic Games, Inc.",2008-03-17
Prince of Persia: Warrior Within™,Action;Adventure,8.59,657,101,Ubisoft,2009-08-27
Far Cry®,Action,8.59,3099,609,Crytek Studios,2008-04-01
Prince of Persia: The Two Thrones™,Action;Adventure,8.59,365,109,Ubisoft Montreal,2009-08-27
Tom Clancy's Rainbow Six® Vegas,Action,8.59,371,106,Ubisoft Montreal,2008-04-09
Tom Clancy's Splinter Cell®,Action,4.29,900,147,Ubisoft,2008-04-01
Tom Clancy's Splinter Cell Chaos Theory®,Action,8.59,1777,140,Ubisoft Montreal,2009-08-27
Tom Clancy's Splinter Cell Double Agent®,Action,8.59,356,454,Ubisoft Montreal,2009-02-13
Prince of Persia®: The Sands of Time,Action;Adventure,8.59,831,122,Kudosoft,2009-08-27
Tom Clancy's Ghost Recon® Desert Siege™,Action,4.29,34,2,Red Storm Entertainment,2008-07-15
Tom Clancy's Rainbow Six Lockdown™,Action,4.29,80,79,Red Storm Entertainment,2009-08-27
Rayman Raving Rabbids™,Action;Adventure,4.29,239,80,Ubisoft Bulgaria;Ubisoft Montpellier,2008-06-13
Assassin's Creed™: Director's Cut Edition,Action;Adventure,8.59,5743,1162,Ubisoft Montreal,2008-04-09
Tom Clancy's Rainbow Six® Vegas 2,Action,8.59,2582,456,Ubisoft Montreal,2008-04-16
Beyond Good and Evil™,Action;Adventure,4.29,1823,186,Ubisoft,2008-05-13
Petz® Horsez® 2,Simulation,4.29,76,38,Ubisoft,2009-08-27
Heroes of Might & Magic V,Strategy,8.59,1258,183,Nival,2008-05-13
Brothers in Arms: Road to Hill 30™,Action,4.29,624,100,Gearbox Software,2008-05-13
Silent Hunter®: Wolves of the Pacific,Simulation,8.59,234,128,Ubisoft Romania,2009-08-27
Silent Hunter® III,Simulation,4.29,685,113,Ubisoft,2008-06-13
Silent Hunter®: Wolves of the Pacific U-Boat Missions,Simulation,4.29,70,24,Ubisoft Romania,2009-08-27
Cold Fear™,Action,4.29,272,40,Darkworks,2008-05-13
Tom Clancy's Ghost Recon®,Action,8.59,536,45,Red Storm Entertainment,2008-07-15
IL-2 Sturmovik: 1946,Simulation,8.69,1287,185,1C: Maddox Games,2008-06-13
Heroes of Might & Magic V: Tribes of the East,Strategy,8.59,759,66,Nival,2008-10-10
Heroes of Might & Magic V: Hammers of Fate,Strategy,8.59,84,21,Nival,2008-10-10
Brothers in Arms: Hell's Highway™,Action,8.59,823,98,Gearbox Software,2008-10-08
Harvest: Massive Encounter,Strategy;Indie,5.79,89,21,Oxeye Game Studio,2009-01-23
The Wonderful End of the World,Indie;Casual,6.99,402,135,"Dejobaan Games, LLC",2008-07-17
AaAaAA!!! - A Reckless Disregard for Gravity,Action;Indie;Sports,6.99,547,103,"Dejobaan Games, LLC",2009-09-03
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,Action;Indie;Sports,6.99,747,252,"Dejobaan Games, LLC;Owlchemy Labs",2011-11-23
"Warhammer 40,000: Dawn of War II",Strategy,14.99,5626,755,Relic Entertainment;Feral Interactive (Mac/Linux),2009-02-18
Oddworld: Abe's Oddysee®,Adventure,1.99,2739,442,Oddworld Inhabitants,2008-08-28
Oddworld: Abe's Exoddus®,Adventure,1.99,806,48,Oddworld Inhabitants,2008-08-28
Oddworld: Munch's Oddysee,Action;Adventure;Strategy,3.99,437,155,Oddworld Inhabitants,2010-12-20
Oddworld: Stranger's Wrath HD,Action;Adventure;Strategy,6.99,759,139,Oddworld Inhabitants,2010-12-20
Planet Busters,Indie;Casual,5.99,1,1,Slam,2008-06-30
7 Wonders II,Casual,6.99,92,29,MumboJumbo,2008-06-10
Luxor Amun Rising,Casual,5.99,6,3,MumboJumbo,2008-06-10
Luxor 2,Casual,5.99,7,14,MumboJumbo,2008-06-10
Luxor 3,Casual,5.99,52,14,MumboJumbo,2008-06-10
Little Farm,Casual,5.99,73,35,MumboJumbo,2008-06-10
Luxor,Casual,5.99,29,14,MumboJumbo,2008-06-10
Discovery! A Seek and Find Adventure,Casual,6.99,20,29,MumboJumbo,2008-07-29
Samantha Swift and the Hidden Roses of Athena,Casual,5.99,30,23,MumboJumbo,2008-10-31
7 Wonders: Treasures of Seven,Casual,6.99,57,21,MumboJumbo,2008-11-14
Luxor: Quest for the Afterlife ,Casual,5.99,29,14,MumboJumbo,2008-12-15
Samantha Swift and the Golden Touch,Casual,5.99,26,25,MumboJumbo,2009-04-29
Virtual Villagers: A New Home,Casual;Simulation,5.99,20,7,Last Day of Work,2008-05-12
Virtual Villagers: The Lost Children,Casual;Simulation,5.99,11,3,Last Day of Work,2008-05-12
Plant Tycoon,Casual;Simulation,5.99,48,5,Last Day of Work,2008-05-12
Fish Tycoon,Casual;Simulation,5.99,35,8,Last Day of Work,2008-05-12
Virtual Villagers - The Secret City,Casual;Simulation,5.99,32,7,Last Day of Work,2008-05-28
Virtual Families,Casual;Simulation,7.49,20,7,Last Day of Work,2009-05-06
F.E.A.R. 2: Project Origin,Action,9.99,3274,509,Monolith,2009-02-12
Chaos Theory,Casual;Indie,1.99,10,1,blurredVision,2008-05-22
Trials 2: Second Edition,Indie;Racing;Sports,5.99,169,33,Redlynx,2008-05-28
Monster Trucks Nitro ,Indie;Racing;Sports,16.99,21,13,Redlynx Ltd,2009-01-29
Insecticide Part 1,Action;Adventure,0.79,308,110,Crackpot Entertainment,2008-07-01
Velvet Assassin,Action,1.69,1219,832,Replay Studios,2009-05-01
Legendary,Action,1.69,1095,1000,Spark Unlimited,2008-12-01
Sid Meier's Civilization IV: Colonization,Strategy,9.99,330,95,Firaxis Games,2008-09-23
GROUND BRANCH,Action;Indie;Early Access,15.49,599,143,BlackFoot Studios,2018-08-14
Tribes: Ascend,Action;Free to Play,0.0,6470,1738,Hi-Rez Studios,2012-06-27
Children of the Nile: Enhanced Edition,Strategy;Simulation,5.99,180,38,"Tilted Mill Entertainment, Inc.",2008-07-08
Children of the Nile: Alexandria,Strategy;Simulation,1.49,54,13,"Tilted Mill Entertainment, Inc.",2008-09-22
Hinterland,RPG;Strategy,6.99,113,38,"Tilted Mill Entertainment, Inc.",2008-09-30
Mosby's Confederacy,Strategy,6.99,15,6,"Tilted Mill Entertainment, Inc.",2008-11-19
Crysis,Action,9.99,6075,1277,Crytek,2008-09-17
Crysis Warhead®,Action,7.99,1694,312,Crytek,2008-09-17
SPORE™,Simulation,14.99,15101,2014,Maxis™,2008-12-19
Mirror's Edge™,Action;Adventure,9.99,17880,2341,DICE,2009-01-14
Need for Speed Undercover,Action;Racing,9.99,2351,1081,EA Black Box,2008-12-19
SPORE™ Creepy & Cute Parts Pack,Simulation,9.99,481,100,Maxis™,2008-12-19
Dragon Age: Origins,RPG,14.99,6207,468,BioWare,2009-11-05
Mass Effect,Action;RPG,7.99,10107,666,BioWare,2008-12-19
Dead Space,Action,14.99,9136,1049,EA Redwood Shores,2009-01-09
Command & Conquer: Red Alert 3,Strategy,9.99,4390,855,EA Los Angeles,2009-01-08
Zombie Panic! Source,Action;Free to Play;Indie,0.0,5267,914,Zombie Panic Team,2008-10-03
"Pirates, Vikings, and Knights II",Action;Free to Play;Indie,0.0,3839,582,Octoshark Studios,2010-02-12
Nuclear Dawn,Action;Strategy,6.99,1675,441,GameConnect;InterWave Studios,2011-09-26
Empires Mod,Action;Free to Play;Strategy,0.0,663,115,Empires,2008-07-28
"Precipice of Darkness, Episode One",Adventure;RPG,5.99,394,42,Hothead Games,2008-05-21
"Precipice of Darkness, Episode Two",Adventure;RPG,5.99,118,23,Hothead Games,2008-11-07
DeathSpank,Action;Indie;RPG,7.99,540,34,Hothead Games,2010-10-25
DeathSpank: Thongs of Virtue,Action;RPG;Indie,7.99,125,18,Hothead Games,2010-11-30
The Baconing,Action;Adventure;RPG,9.99,149,37,Hothead Games,2011-08-31
Unstoppable Gorg,Action;Casual;Indie;Strategy,6.99,190,48,Futuremark,2012-01-19
Spectraball,Casual;Indie,3.99,297,101,Shorebound Studios,2008-10-20
Crazy Machines 2,Casual;Strategy,7.19,97,108,Fakt Software,2008-06-20
Crazy Machines,Casual;Strategy,6.99,98,24,Fakt Software,2008-12-12
Helldorado,Strategy,6.99,53,23,Spellbound,2009-04-30
Mata Hari,Adventure,3.99,53,37,4Head Studios,2009-07-29
Defense Grid: The Awakening,Indie;Strategy,6.99,3307,113,Hidden Path Entertainment,2008-12-08
Mayhem Intergalactic,Indie;Strategy,6.99,12,10,Inventive Dingo,2009-01-22
And Yet It Moves,Action;Indie,6.99,735,327,Broken Rules,2009-04-02
Zero Gear,Action;Indie;Racing;Sports,3.99,652,173,Brian Cronin,2010-01-12
Silent Hill Homecoming,Adventure,17.99,480,437,Double Helix Games,2009-03-02
Puzzle Chronicles,Casual;RPG,7.99,16,8,Infinite Interactive,2010-06-25
Rocket Knight,Action;Adventure,11.99,70,22,Climax Studios,2010-06-25
