Name,Genre,Price,Positive_Reviews,Negative_Reviews,Developer,Release_Date
Farm Frenzy 2,Casual,3.99,17,2,Alawar,2010-02-15
Farm Frenzy: Pizza Party,Casual,3.99,16,1,Alawar,2010-02-15
Farm Frenzy 3,Casual,6.99,7,1,Alawar,2010-02-15
Farm Frenzy 3: American Pie,Casual,6.99,2,0,Alawar,2010-02-15
Cradle of Rome,Casual,6.99,16,2,Awem Studio,2010-02-20
Cradle of Persia,Casual,6.99,6,0,Awem Studio,2010-02-20
Romance of Rome,Casual,6.99,4,5,Awem Studio,2010-02-20
Roogoo,Casual,0.79,273,66,Spidermonk Entertainment,2009-12-17
Hotel Giant 2,Simulation,5.59,66,95,"Enlight Software Limited, PerspectX",2010-01-27
Fallout: A Post Nuclear Role Playing Game,RPG,7.99,6983,643,Interplay Inc.,2015-11-01
Fallout 2: A Post Nuclear Role Playing Game,RPG,7.99,4758,321,Black Isle Studios,2009-08-19
Fallout Tactics: Brotherhood of Steel,Strategy,7.99,847,210,14° East,2009-08-19
Kingpin — Life of Crime,Action,6.99,163,42,Xatrix Entertainment,2009-08-19
